Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Unnamed: 6,Student Name
2,90,No,9,0,67,,Harleen Kaur
9,57,Yes,8,7,54,,Zoya Khan
3,97,No,7,9,75,,Rachel Pinto
5,83,Yes,7,0,67,,Sana Qureshi
8,96,No,9,5,91,,Jacob Mathew
2,55,No,6,8,30,,Saanvi Patel
6,40,Yes,6,2,29,,Manvir Sandhu
5,87,Yes,9,5,75,,Aarav Sharma
9,41,Yes,9,2,41,,Gurpreet Bedi
5,95,Yes,9,4,84,,Navneet Dhillon
2,54,Yes,8,6,31,,Grace DCosta
5,78,Yes,5,9,64,,Nathan Gomes
4,67,No,7,3,48,,Hannah Daniel
7,40,Yes,9,3,29,,Ethan Paul
6,44,Yes,5,6,33,,Sarah Joseph
2,81,No,8,4,59,,Ananya Joshi
5,61,Yes,7,0,45,,Jasleen Bajwa
7,92,Yes,5,9,86,,Riya Sharma
7,75,No,7,1,65,,Harnoor Brar
5,85,No,6,5,73,,Krish Choudhary
9,52,No,9,8,50,,Imran Qureshi
4,40,Yes,6,6,20,,Lakshya Verma
3,55,No,4,3,36,,Rehan Siddiqui
4,94,Yes,8,1,78,,Arjun Singh
5,80,No,9,3,65,,Hina Parveen
6,61,Yes,5,4,48,,Eliza Francis
3,71,No,7,1,49,,Ishaan Tripathi
2,55,No,4,0,32,,Isha Saxena
4,90,No,8,3,69,,John DSouza
5,54,Yes,8,5,41,,Khushi Rathi
4,97,Yes,8,0,77,,Jasleen Bajwa
3,85,No,5,0,60,,Kirandeep Grewal
8,91,No,9,8,88,,Ayesha Fatima
4,81,No,6,4,61,,Gurpreet Bedi
2,92,No,4,1,69,,Zayan Ali
2,51,Yes,5,1,29,,Faizan Ahmad
1,99,No,7,3,73,,Sana Qureshi
4,40,No,5,1,22,,Eliza Francis
9,92,Yes,7,3,93,,Harleen Kaur
7,56,Yes,7,5,46,,Imran Qureshi
7,80,No,8,6,74,,Ishaan Tripathi
7,94,No,5,5,83,,Isha Saxena
8,90,Yes,6,3,84,,Ethan Paul
1,96,Yes,7,9,71,,Harnoor Brar
8,89,No,8,2,82,,Nathan Gomes
4,67,Yes,6,3,49,,Hina Parveen
4,46,Yes,5,4,27,,Aaron Fernandes
4,48,No,6,3,29,,Arjun Singh
6,61,No,5,2,50,,Navneet Dhillon
7,65,Yes,7,0,53,,Saanvi Patel
6,92,No,4,2,80,,Hannah Daniel
1,51,No,4,4,21,,Manvir Sandhu
8,46,No,9,5,39,,Ananya Joshi
7,85,No,9,3,74,,Rehan Siddiqui
6,86,No,7,0,76,,Meher Jahan
6,54,Yes,6,9,43,,Vivaan Mehta
5,77,Yes,5,6,61,,Rachel Pinto
6,60,No,4,8,48,,Sarah Joseph
9,53,No,5,5,48,,Riya Sharma
9,41,No,7,5,40,,Harsimran Gill
8,47,Yes,6,8,40,,Jacob Mathew
9,84,Yes,5,3,80,,Ayaan Khan
8,94,Yes,6,4,90,,Aarav Sharma
8,45,Yes,4,4,36,,Simran Kaur
1,76,No,5,4,48,,Krish Choudhary
5,76,No,8,7,60,,Lakshya Verma
4,96,Yes,4,0,76,,Zoya Khan
2,72,Yes,6,9,47,,Grace DCosta
8,80,No,7,9,73,,Aaron Fernandes
3,45,No,8,2,22,,Zoya Khan
4,91,No,9,7,74,,Rehan Siddiqui
7,65,No,5,8,58,,Ayesha Fatima
9,78,No,9,1,76,,Jasleen Bajwa
2,80,Yes,4,3,59,,Arjun Singh
3,76,No,5,7,55,,Eliza Francis
4,53,Yes,5,4,33,,Gurpreet Bedi
1,76,Yes,8,0,50,,Saanvi Patel
7,47,No,8,5,37,,Riya Sharma
2,78,Yes,8,8,58,,Krish Choudhary
5,52,Yes,8,8,36,,Ananya Joshi
1,52,No,7,0,25,,Jacob Mathew
3,79,Yes,6,3,62,,Imran Qureshi
2,82,No,8,0,57,,Sarah Joseph
1,67,No,4,6,39,,Isha Saxena
7,97,Yes,5,2,84,,Aarav Sharma
5,57,No,9,1,45,,Simran Kaur
1,96,No,8,7,72,,Ethan Paul
6,58,Yes,4,8,45,,Zayan Ali
5,77,No,7,6,63,,Rachel Pinto
3,71,Yes,4,5,50,,Harnoor Brar
7,61,Yes,9,9,53,,Manvir Sandhu
9,41,No,9,5,36,,Ishaan Tripathi
9,99,Yes,4,8,97,,Sana Qureshi
9,52,No,7,4,49,,Faizan Ahmad
2,62,Yes,9,4,40,,Hannah Daniel
3,64,No,7,1,43,,Navneet Dhillon
7,67,No,5,5,60,,Hina Parveen
5,97,Yes,8,5,85,,John DSouza
2,50,Yes,9,5,26,,Grace DCosta
3,72,No,4,3,53,,Nathan Gomes
6,63,No,6,6,53,,Harsimran Gill
7,41,Yes,6,8,34,,Ayaan Khan
9,69,No,5,0,63,,Harleen Kaur
1,56,No,6,2,31,,Lakshya Verma
7,79,Yes,5,9,71,,Meher Jahan
8,73,Yes,8,8,67,,Vivaan Mehta
3,77,No,5,4,57,,Kirandeep Grewal
4,61,Yes,7,5,46,,Khushi Rathi
6,44,Yes,7,7,34,,Nathan Gomes
7,87,No,7,8,76,,Harleen Kaur
4,79,Yes,9,7,65,,Grace DCosta
8,90,Yes,7,2,84,,Faizan Ahmad
5,55,No,7,9,38,,Krish Choudhary
1,52,Yes,7,0,27,,Kirandeep Grewal
4,65,No,7,4,49,,Ayaan Khan
3,70,Yes,9,6,52,,Khushi Rathi
9,91,Yes,7,1,86,,Imran Qureshi
8,78,No,7,0,74,,Hina Parveen
1,87,Yes,8,3,64,,Zoya Khan
6,62,Yes,9,2,53,,Hannah Daniel
9,87,Yes,7,3,87,,Harsimran Gill
7,51,Yes,5,0,43,,Sana Qureshi
4,53,Yes,8,1,37,,Manvir Sandhu
1,95,Yes,9,0,68,,Ayesha Fatima
2,57,No,6,2,32,,Meher Jahan
5,66,Yes,4,3,49,,Aarav Sharma
5,67,Yes,9,0,56,,Eliza Francis
8,57,No,8,5,52,,Ethan Paul
6,55,No,7,1,41,,Zayan Ali
8,91,No,8,9,87,,Gurpreet Bedi
2,55,Yes,4,4,34,,John DSouza
3,52,No,4,7,32,,Navneet Dhillon
6,97,No,9,3,89,,Ishaan Tripathi
3,68,Yes,7,4,46,,Jasleen Bajwa
6,48,No,7,8,36,,Harnoor Brar
6,65,Yes,5,1,51,,Rachel Pinto
2,67,Yes,4,1,46,,Isha Saxena
7,80,Yes,7,5,72,,Rehan Siddiqui
2,52,Yes,4,5,27,,Saanvi Patel
6,75,Yes,5,2,59,,Vivaan Mehta
1,48,No,6,8,25,,Sarah Joseph
3,86,Yes,4,0,67,,Jacob Mathew
2,53,No,5,2,24,,Arjun Singh
7,90,Yes,5,7,82,,Lakshya Verma
4,51,No,5,7,35,,Simran Kaur
8,92,Yes,8,3,88,,Aaron Fernandes
6,97,Yes,9,7,87,,Ananya Joshi
4,96,Yes,7,9,79,,Riya Sharma
5,71,No,4,7,58,,Rachel Pinto
9,77,No,9,0,76,,Isha Saxena
7,42,No,8,2,34,,Navneet Dhillon
9,97,Yes,4,0,95,,Harnoor Brar
7,96,Yes,9,1,93,,Harsimran Gill
1,93,No,8,3,67,,Zayan Ali
8,91,Yes,7,2,85,,Zoya Khan
4,55,No,5,5,36,,Sarah Joseph
3,59,Yes,9,4,38,,Imran Qureshi
7,71,No,9,4,66,,Ishaan Tripathi
3,95,No,4,9,78,,Hannah Daniel
8,62,Yes,5,6,58,,Nathan Gomes
6,56,No,7,6,48,,Eliza Francis
5,55,Yes,4,8,41,,Harleen Kaur
4,77,Yes,6,7,61,,Aarav Sharma
8,47,Yes,6,2,42,,Grace DCosta
8,58,No,6,1,50,,Krish Choudhary
1,69,No,7,0,40,,John DSouza
9,96,No,6,9,94,,Meher Jahan
5,97,Yes,9,5,84,,Ayaan Khan
4,73,Yes,4,3,59,,Lakshya Verma
6,53,No,9,2,39,,Simran Kaur
6,61,Yes,6,1,49,,Hina Parveen
2,83,Yes,4,1,59,,Khushi Rathi
8,56,No,9,3,49,,Vivaan Mehta
7,99,No,7,0,89,,Gurpreet Bedi
1,98,Yes,5,5,73,,Sana Qureshi
5,54,Yes,9,9,40,,Faizan Ahmad
6,89,No,8,4,79,,Jacob Mathew
4,87,No,6,9,74,,Jasleen Bajwa
2,71,Yes,8,8,49,,Manvir Sandhu
4,52,Yes,5,1,35,,Aaron Fernandes
1,60,Yes,7,8,39,,Ayesha Fatima
7,88,No,9,8,83,,Arjun Singh
2,79,Yes,7,9,56,,Ananya Joshi
2,72,Yes,5,8,46,,Ethan Paul
9,96,Yes,8,9,95,,Rehan Siddiqui
5,97,Yes,9,9,86,,Riya Sharma
2,66,Yes,6,3,39,,Kirandeep Grewal
9,74,Yes,4,4,70,,Saanvi Patel
9,55,No,7,7,51,,Grace DCosta
1,67,No,5,7,41,,Manvir Sandhu
3,73,No,9,0,53,,Jacob Mathew
4,86,Yes,8,9,71,,Aarav Sharma
7,40,No,6,0,31,,Vivaan Mehta
4,80,Yes,8,9,63,,Harnoor Brar
2,87,Yes,6,5,61,,Gurpreet Bedi
7,70,Yes,9,6,65,,Ethan Paul
6,75,Yes,4,1,63,,Aaron Fernandes
3,83,Yes,4,1,63,,Meher Jahan
6,72,No,5,4,58,,Hannah Daniel
6,72,No,5,8,62,,Ananya Joshi
5,78,No,6,4,61,,Arjun Singh
4,57,Yes,6,7,40,,Ayaan Khan
1,62,No,6,7,39,,Ishaan Tripathi
6,99,Yes,6,4,89,,Eliza Francis
2,62,No,9,7,40,,Zoya Khan
3,54,No,9,7,35,,Rachel Pinto
8,65,No,4,4,55,,Harleen Kaur
6,69,No,5,4,60,,Jasleen Bajwa
3,64,No,5,3,45,,Krish Choudhary
7,84,No,7,0,76,,Faizan Ahmad
4,55,Yes,5,8,38,,Nathan Gomes
9,78,Yes,5,1,73,,Zayan Ali
5,87,Yes,8,0,72,,Navneet Dhillon
3,84,Yes,8,5,68,,Harsimran Gill
2,53,Yes,7,4,27,,Sarah Joseph
2,56,No,6,0,33,,Sana Qureshi
3,51,Yes,7,6,28,,Hina Parveen
2,68,Yes,7,6,46,,Ayesha Fatima
4,71,Yes,4,2,52,,Lakshya Verma
2,95,Yes,9,7,72,,John DSouza
9,63,Yes,5,5,58,,Kirandeep Grewal
2,91,Yes,4,3,69,,Isha Saxena
9,52,Yes,9,9,54,,Simran Kaur
6,95,Yes,5,9,85,,Imran Qureshi
1,59,Yes,7,9,33,,Rehan Siddiqui
4,54,No,5,2,33,,Riya Sharma
1,95,Yes,6,0,67,,Saanvi Patel
6,92,Yes,6,1,80,,Khushi Rathi
4,43,No,7,1,25,,Jasleen Bajwa
3,93,No,8,4,76,,Ishaan Tripathi
3,73,Yes,6,3,53,,Zoya Khan
9,67,Yes,7,1,63,,Rachel Pinto
6,89,Yes,4,8,75,,Rehan Siddiqui
9,41,No,8,6,38,,Hina Parveen
5,96,Yes,6,7,79,,Eliza Francis
2,86,No,7,7,63,,Harnoor Brar
8,69,No,7,1,60,,Harsimran Gill
5,65,No,4,4,49,,Zayan Ali
2,90,No,4,2,66,,Ethan Paul
4,86,No,8,9,71,,Ananya Joshi
9,65,Yes,9,8,66,,Grace DCosta
4,59,Yes,6,8,41,,Manvir Sandhu
4,81,No,7,5,67,,Khushi Rathi
2,67,No,8,3,46,,Riya Sharma
6,95,No,8,7,86,,Kirandeep Grewal
2,59,No,4,4,37,,Imran Qureshi
7,50,Yes,7,2,42,,Meher Jahan
3,97,No,5,7,77,,Harleen Kaur
3,49,No,9,5,32,,John DSouza
5,62,Yes,9,4,47,,Jacob Mathew
3,76,Yes,4,0,54,,Nathan Gomes
2,80,Yes,7,2,60,,Simran Kaur
9,91,Yes,8,6,89,,Aarav Sharma
2,58,No,9,2,34,,Sarah Joseph
2,84,No,8,0,59,,Faizan Ahmad
8,57,No,6,7,52,,Ayaan Khan
9,88,No,5,6,84,,Vivaan Mehta
7,66,No,4,4,57,,Aaron Fernandes
3,45,No,9,9,30,,Gurpreet Bedi
9,49,No,6,4,47,,Navneet Dhillon
3,41,No,6,5,15,,Hannah Daniel
5,63,No,5,6,49,,Saanvi Patel
9,77,Yes,4,2,74,,Isha Saxena
3,67,No,4,3,45,,Ayesha Fatima
7,67,Yes,8,0,61,,Arjun Singh
1,92,Yes,4,6,67,,Sana Qureshi
4,84,Yes,6,9,64,,Lakshya Verma
4,89,Yes,8,1,73,,Krish Choudhary
7,78,No,4,6,68,,Kirandeep Grewal
8,41,Yes,5,5,33,,Imran Qureshi
1,85,Yes,6,3,60,,Rehan Siddiqui
5,44,No,7,1,30,,Harleen Kaur
7,89,Yes,5,6,82,,Krish Choudhary
4,50,No,5,6,33,,Jacob Mathew
4,49,No,4,4,28,,Harsimran Gill
4,82,No,8,8,64,,Simran Kaur
6,98,No,8,2,88,,Grace DCosta
7,41,Yes,6,8,35,,Nathan Gomes
2,54,No,4,4,30,,John DSouza
5,78,Yes,8,1,60,,Riya Sharma
4,80,Yes,9,8,66,,Sana Qureshi
3,76,No,7,0,52,,Gurpreet Bedi
7,46,Yes,9,0,39,,Ayaan Khan
6,59,No,4,6,45,,Hina Parveen
7,73,Yes,4,2,64,,Harnoor Brar
5,74,Yes,8,7,66,,Ayesha Fatima
6,73,Yes,5,6,61,,Ananya Joshi
5,92,Yes,4,6,76,,Aarav Sharma
7,61,No,5,0,49,,Zoya Khan
2,70,No,6,0,43,,Khushi Rathi
5,62,Yes,6,1,45,,Vivaan Mehta
6,58,Yes,8,1,49,,Eliza Francis
6,43,Yes,6,4,27,,Saanvi Patel
5,63,Yes,9,8,50,,Hannah Daniel
7,59,No,9,6,52,,Zayan Ali
8,78,Yes,9,1,72,,Isha Saxena
7,67,Yes,8,4,62,,Arjun Singh
5,93,Yes,8,4,80,,Lakshya Verma
1,78,No,9,7,53,,Ishaan Tripathi
5,56,Yes,5,8,42,,Ethan Paul
2,58,No,9,7,37,,Meher Jahan
5,93,No,5,1,77,,Faizan Ahmad
5,87,Yes,6,3,73,,Rachel Pinto
2,74,Yes,5,1,46,,Manvir Sandhu
5,71,Yes,4,5,54,,Aaron Fernandes
4,86,No,7,3,70,,Navneet Dhillon
1,85,No,4,6,60,,Jasleen Bajwa
3,86,Yes,4,1,67,,Sarah Joseph
1,85,No,8,8,58,,Arjun Singh
5,78,Yes,7,4,63,,Ishaan Tripathi
4,96,Yes,8,0,83,,Gurpreet Bedi
7,74,Yes,5,2,64,,Isha Saxena
5,69,Yes,9,3,57,,Kirandeep Grewal
4,56,Yes,5,2,45,,Eliza Francis
2,81,Yes,7,5,61,,Jasleen Bajwa
4,86,No,6,5,68,,Nathan Gomes
2,68,No,5,9,45,,Hannah Daniel
8,45,No,4,6,39,,Rachel Pinto
3,99,Yes,7,8,77,,Saanvi Patel
9,56,Yes,7,9,55,,Harnoor Brar
4,56,Yes,5,8,38,,Meher Jahan
6,53,No,5,6,40,,Hina Parveen
5,63,Yes,8,0,49,,Riya Sharma
1,96,No,8,2,74,,Ethan Paul
9,89,Yes,4,4,86,,Ayesha Fatima
1,96,No,7,9,72,,Manvir Sandhu
8,76,Yes,6,5,72,,Lakshya Verma
9,79,Yes,6,5,77,,Vivaan Mehta
9,78,No,7,4,76,,Aarav Sharma
1,94,No,4,5,67,,Faizan Ahmad
2,71,No,8,8,52,,Aaron Fernandes
1,75,Yes,8,0,52,,Navneet Dhillon
2,89,No,8,0,67,,Zayan Ali
8,76,No,6,8,66,,John DSouza
5,87,Yes,6,7,74,,Rehan Siddiqui
7,53,Yes,4,8,40,,Sarah Joseph
2,66,No,6,6,44,,Khushi Rathi
8,98,Yes,5,9,97,,Simran Kaur
6,58,No,6,5,48,,Sana Qureshi
8,70,No,8,8,65,,Krish Choudhary
1,85,No,4,1,57,,Ananya Joshi
1,48,Yes,7,3,19,,Ayaan Khan
7,77,No,7,1,68,,Imran Qureshi
8,56,No,4,5,48,,Harsimran Gill
3,58,Yes,5,0,34,,Zoya Khan
5,83,No,7,6,67,,Jacob Mathew
1,43,No,8,6,15,,Harleen Kaur
7,87,No,7,6,83,,Grace DCosta
5,96,Yes,7,3,83,,Gurpreet Bedi
8,50,No,8,7,46,,Vivaan Mehta
8,61,Yes,6,4,57,,Grace DCosta
9,43,Yes,5,1,42,,Aaron Fernandes
7,56,No,8,4,51,,Jacob Mathew
1,47,No,8,9,24,,Khushi Rathi
3,85,Yes,9,8,64,,Sarah Joseph
8,98,No,4,9,94,,Ishaan Tripathi
3,73,No,5,0,50,,Riya Sharma
8,50,Yes,6,1,41,,Imran Qureshi
1,70,No,9,9,45,,Harsimran Gill
5,50,No,8,7,37,,Krish Choudhary
4,95,Yes,9,4,75,,Sana Qureshi
5,93,No,6,8,80,,Rehan Siddiqui
8,95,Yes,9,5,94,,Harleen Kaur
4,77,Yes,9,7,62,,Simran Kaur
4,92,No,9,0,73,,Faizan Ahmad
3,60,Yes,8,8,43,,Navneet Dhillon
7,85,No,8,8,78,,Zayan Ali
3,69,No,4,2,51,,Isha Saxena
3,49,Yes,7,0,24,,Arjun Singh
5,65,Yes,5,7,46,,Aarav Sharma
5,66,Yes,4,7,51,,Kirandeep Grewal
6,47,Yes,6,8,35,,Nathan Gomes
8,78,Yes,9,5,75,,Ayaan Khan
6,47,Yes,8,8,38,,Ananya Joshi
1,99,No,9,9,79,,John DSouza
8,47,No,8,8,42,,Lakshya Verma
8,94,Yes,5,3,89,,Eliza Francis
9,73,No,4,4,66,,Hina Parveen
9,98,Yes,4,5,100,,Ayesha Fatima
2,55,Yes,6,5,34,,Zoya Khan
2,80,No,4,9,59,,Saanvi Patel
3,52,No,4,1,28,,Manvir Sandhu
1,62,Yes,7,3,39,,Jasleen Bajwa
4,51,Yes,5,8,36,,Ethan Paul
4,66,Yes,9,6,52,,Hannah Daniel
9,61,No,4,8,57,,Meher Jahan
9,71,Yes,6,5,66,,Rachel Pinto
9,96,Yes,9,6,95,,Harnoor Brar
7,88,No,8,8,79,,Zoya Khan
2,66,No,4,3,42,,Krish Choudhary
5,41,No,4,8,23,,Gurpreet Bedi
4,84,Yes,9,2,67,,Ishaan Tripathi
8,72,Yes,8,7,64,,Jasleen Bajwa
2,65,No,7,2,43,,Hannah Daniel
6,67,Yes,5,2,56,,Sarah Joseph
5,58,Yes,7,2,43,,Isha Saxena
2,82,No,6,8,55,,Rehan Siddiqui
1,44,No,9,9,16,,Ananya Joshi
8,72,Yes,4,2,65,,Grace DCosta
2,59,No,7,5,38,,Simran Kaur
7,69,No,5,3,57,,Harleen Kaur
9,84,Yes,6,1,83,,Imran Qureshi
9,47,Yes,7,2,47,,Khushi Rathi
8,77,Yes,4,4,71,,Jacob Mathew
9,56,Yes,5,9,56,,Navneet Dhillon
2,83,Yes,4,3,57,,Kirandeep Grewal
6,40,Yes,4,4,23,,Harsimran Gill
4,42,No,6,0,27,,Vivaan Mehta
4,85,No,5,3,65,,Ethan Paul
5,65,No,8,9,54,,Faizan Ahmad
3,70,Yes,4,2,50,,Hina Parveen
1,47,Yes,5,1,23,,Harnoor Brar
8,82,Yes,4,6,77,,Sana Qureshi
5,98,Yes,7,9,83,,Ayaan Khan
3,85,Yes,7,8,66,,John DSouza
7,47,No,5,0,38,,Arjun Singh
7,74,Yes,6,6,65,,Riya Sharma
1,78,No,8,0,54,,Meher Jahan
9,67,Yes,7,4,65,,Eliza Francis
2,90,No,6,0,68,,Rachel Pinto
5,43,No,8,2,31,,Lakshya Verma
5,96,No,7,7,83,,Zayan Ali
8,55,No,8,3,49,,Aaron Fernandes
8,52,No,9,0,45,,Saanvi Patel
7,59,No,4,0,46,,Aarav Sharma
7,90,No,5,7,85,,Ayesha Fatima
6,44,Yes,7,7,33,,Nathan Gomes
6,94,Yes,7,3,83,,Manvir Sandhu
9,76,No,4,3,71,,Hannah Daniel
6,59,Yes,7,9,49,,Nathan Gomes
2,63,Yes,7,1,39,,Khushi Rathi
2,75,No,9,1,51,,Aaron Fernandes
5,73,Yes,7,5,57,,Simran Kaur
4,97,No,7,7,81,,Harleen Kaur
2,84,Yes,7,6,65,,Sana Qureshi
3,87,No,6,6,66,,Zayan Ali
7,93,Yes,7,2,86,,Faizan Ahmad
8,73,No,4,1,66,,Ayaan Khan
6,58,Yes,9,9,50,,Lakshya Verma
5,56,Yes,7,6,46,,Rachel Pinto
1,44,Yes,8,3,20,,Riya Sharma
8,64,No,9,0,58,,Eliza Francis
3,57,No,9,0,38,,Vivaan Mehta
6,99,Yes,8,3,91,,Ishaan Tripathi
3,94,Yes,4,4,77,,Hina Parveen
7,92,No,6,4,83,,Zoya Khan
7,89,Yes,4,0,79,,Isha Saxena
9,47,Yes,6,2,50,,Jacob Mathew
5,66,No,5,5,51,,John DSouza
8,54,No,8,9,49,,Jasleen Bajwa
8,84,Yes,9,6,79,,Ayesha Fatima
1,52,No,9,0,26,,Sarah Joseph
5,55,Yes,9,7,42,,Kirandeep Grewal
3,61,Yes,8,3,42,,Ethan Paul
1,59,No,8,8,35,,Meher Jahan
4,52,Yes,6,5,31,,Navneet Dhillon
8,59,No,9,0,50,,Krish Choudhary
3,41,No,4,1,18,,Aarav Sharma
2,74,Yes,6,2,50,,Arjun Singh
9,86,No,9,1,82,,Grace DCosta
5,94,Yes,8,9,78,,Harnoor Brar
7,58,No,8,6,53,,Gurpreet Bedi
2,84,Yes,8,0,65,,Imran Qureshi
9,76,No,9,8,76,,Harsimran Gill
9,97,Yes,8,1,94,,Rehan Siddiqui
4,93,Yes,5,3,79,,Ananya Joshi
4,45,No,8,7,27,,Saanvi Patel
6,53,Yes,9,2,43,,Manvir Sandhu
6,43,Yes,6,8,30,,Jasleen Bajwa
1,61,Yes,8,6,37,,Meher Jahan
9,90,Yes,7,9,90,,Isha Saxena
2,94,Yes,5,2,68,,Khushi Rathi
5,78,Yes,9,2,64,,Vivaan Mehta
9,75,No,8,4,73,,Kirandeep Grewal
4,73,No,7,4,53,,Ananya Joshi
3,66,No,9,9,46,,Hannah Daniel
7,46,No,6,4,37,,Ethan Paul
6,42,Yes,5,8,29,,Sana Qureshi
8,86,Yes,8,8,80,,Grace DCosta
3,72,No,6,5,52,,Hina Parveen
5,41,Yes,9,6,29,,Gurpreet Bedi
4,81,No,7,9,70,,Jacob Mathew
4,55,Yes,9,7,40,,John DSouza
4,64,Yes,9,8,49,,Harnoor Brar
8,99,No,5,5,92,,Zayan Ali
6,54,Yes,8,7,46,,Ayesha Fatima
3,63,No,6,1,42,,Lakshya Verma
5,54,No,5,9,41,,Zoya Khan
6,70,No,7,7,60,,Eliza Francis
5,53,Yes,8,1,41,,Rehan Siddiqui
6,93,Yes,5,7,83,,Harleen Kaur
8,53,No,7,1,43,,Saanvi Patel
7,45,Yes,7,2,36,,Harsimran Gill
5,53,No,6,6,38,,Riya Sharma
6,56,No,9,8,47,,Rachel Pinto
4,57,Yes,7,2,40,,Nathan Gomes
9,59,No,7,4,59,,Faizan Ahmad
4,90,Yes,9,8,76,,Ayaan Khan
1,56,Yes,4,6,31,,Manvir Sandhu
7,55,Yes,7,1,44,,Sarah Joseph
7,79,No,8,4,71,,Aaron Fernandes
4,78,No,5,4,59,,Navneet Dhillon
3,91,Yes,9,8,69,,Aarav Sharma
8,71,Yes,9,1,63,,Imran Qureshi
5,99,No,9,0,87,,Ishaan Tripathi
7,83,Yes,8,3,77,,Simran Kaur
4,48,Yes,9,3,31,,Krish Choudhary
4,66,No,8,0,47,,Arjun Singh
8,85,No,6,9,78,,Isha Saxena
8,91,No,4,6,86,,Jasleen Bajwa
2,72,Yes,9,1,48,,Rachel Pinto
2,49,No,4,8,24,,Krish Choudhary
3,56,No,9,6,39,,Sana Qureshi
3,88,No,8,6,71,,Grace DCosta
1,88,No,5,0,60,,Manvir Sandhu
3,75,No,4,8,54,,Sarah Joseph
6,56,No,4,9,45,,Faizan Ahmad
8,57,No,8,8,51,,Ethan Paul
6,91,Yes,4,1,78,,Hina Parveen
5,62,No,6,9,48,,Harnoor Brar
4,73,Yes,8,8,59,,Meher Jahan
3,47,Yes,4,1,28,,Kirandeep Grewal
4,52,No,4,1,35,,Gurpreet Bedi
7,62,Yes,4,7,55,,Zayan Ali
1,96,No,8,2,69,,Vivaan Mehta
7,93,Yes,5,2,87,,Harsimran Gill
1,59,No,7,6,32,,Lakshya Verma
2,61,Yes,9,9,37,,Rehan Siddiqui
4,86,No,4,5,66,,Saanvi Patel
1,91,No,7,6,66,,Ayesha Fatima
9,62,Yes,7,5,56,,Ishaan Tripathi
6,80,Yes,4,8,70,,Navneet Dhillon
1,74,No,4,1,48,,Hannah Daniel
1,42,Yes,9,7,17,,Riya Sharma
6,73,No,7,5,59,,Imran Qureshi
4,72,Yes,5,3,56,,Ananya Joshi
4,85,No,7,5,66,,Aarav Sharma
6,56,Yes,5,5,41,,John DSouza
7,84,No,6,9,76,,Eliza Francis
9,58,Yes,5,2,54,,Zoya Khan
5,69,No,9,7,57,,Khushi Rathi
9,62,Yes,8,4,62,,Arjun Singh
4,54,No,4,9,38,,Simran Kaur
2,98,Yes,6,3,73,,Jacob Mathew
3,96,Yes,7,1,72,,Ayaan Khan
1,53,No,5,9,28,,Nathan Gomes
6,41,Yes,6,0,28,,Aaron Fernandes
6,78,Yes,8,6,67,,Harleen Kaur
1,88,No,5,9,62,,Sarah Joseph
3,57,No,9,2,36,,Jasleen Bajwa
5,45,No,7,2,33,,Ayesha Fatima
3,98,No,7,2,74,,Kirandeep Grewal
3,71,Yes,5,9,52,,Khushi Rathi
3,60,Yes,8,2,38,,Hannah Daniel
5,79,Yes,4,1,62,,Harnoor Brar
5,67,No,4,5,50,,Harleen Kaur
4,66,Yes,7,9,48,,Aarav Sharma
1,41,Yes,8,2,15,,Ananya Joshi
5,72,No,7,0,51,,Navneet Dhillon
5,55,Yes,4,9,37,,Manvir Sandhu
4,78,Yes,7,8,59,,Grace DCosta
6,61,No,5,5,46,,Aaron Fernandes
4,95,Yes,9,5,78,,John DSouza
7,82,No,5,9,74,,Sana Qureshi
7,86,No,9,8,78,,Eliza Francis
2,52,Yes,8,1,27,,Gurpreet Bedi
3,95,Yes,4,9,74,,Simran Kaur
1,41,Yes,8,8,15,,Lakshya Verma
8,53,No,8,2,46,,Riya Sharma
9,95,No,4,2,90,,Rachel Pinto
4,77,Yes,6,2,58,,Imran Qureshi
6,80,Yes,6,0,65,,Saanvi Patel
9,67,No,7,9,65,,Ishaan Tripathi
6,46,Yes,6,6,36,,Ethan Paul
9,57,Yes,5,9,52,,Zayan Ali
4,95,No,9,6,79,,Rehan Siddiqui
8,80,Yes,8,1,74,,Arjun Singh
9,94,Yes,7,5,93,,Vivaan Mehta
4,75,Yes,8,3,57,,Hina Parveen
5,80,Yes,4,6,65,,Isha Saxena
8,75,No,6,6,69,,Ayaan Khan
6,83,No,4,3,71,,Nathan Gomes
7,43,No,7,2,31,,Meher Jahan
3,96,No,9,6,78,,Jacob Mathew
7,69,Yes,5,8,60,,Faizan Ahmad
8,63,Yes,6,3,58,,Harsimran Gill
6,59,Yes,4,5,46,,Zoya Khan
9,85,Yes,9,6,87,,Krish Choudhary
6,95,No,6,9,81,,Ayesha Fatima
9,70,Yes,8,2,69,,Zayan Ali
4,63,Yes,5,4,46,,Faizan Ahmad
8,46,No,9,0,41,,Arjun Singh
4,65,No,6,5,50,,Sana Qureshi
2,52,No,5,4,24,,Hannah Daniel
9,93,Yes,9,6,97,,Jacob Mathew
5,47,No,8,8,35,,John DSouza
4,94,Yes,8,3,82,,Imran Qureshi
2,44,Yes,4,8,24,,Rehan Siddiqui
1,83,No,7,5,59,,Vivaan Mehta
7,52,No,4,4,42,,Harleen Kaur
6,68,No,5,1,56,,Ananya Joshi
2,59,Yes,4,0,30,,Jasleen Bajwa
8,53,Yes,9,7,49,,Meher Jahan
